id;root #;root_form_idx;root_form_rev_idx;root form;mphl_idx;mphl_rev_idx;mphl;norm_idx;norm_rev_idx;norm;par index;class;extent;notice
1;933;5311;931;сѧг;1175;3991;до.(сѧг).н.ѫ.т.и;1197;3963;досѧгнѫти;5;v;;
2;992;5627;2749;тък;5549;1971;съ.(тък).а.т.и;5528;1972;сътъкати;3o;v;;660
3;724;4004;927;прѧг;5490;2559;съ.(прѧг).т.и;5470;4158;съпрѧщи;4c;v;;698
4;1;2065;3212;jавл҄;1810;2037;(jавл҄).а.т.и;27;2507;ꙗвл҄ꙗти//;7;v;;655
5;1;2066;3213;jавл҄;1811;910;(jавл҄).ен.ьj.е;28;1112;ꙗвл҄ѥниѥ//;2/n;n;;655
6;1;2064;476;jав;1809;2697;(jав).и.т.и;26;2731;ꙗвити//;1;v;;655
7;1113;6338;1472;ѣд;1870;803;(i̯ѣд).ен.ьj.е;29;859;ꙗдениѥ;2/n;n;;839
8;1113;6339;1473;ѣд;1871;5738;(i̯ѣд).ов.ит.ъ;30;5806;ꙗдовитъ;2/a;a;;839
9;1115;6360;4142;ѣдр;1872;283;(i̯ѣдр).а;31;237;ꙗдра;2/n;n;;655
10;1115;6361;4143;ѣдр;1873;4278;(i̯ѣдр).о;32;4346;ꙗдро;2/n;n;;655
11;1113;6340;1474;ѣд;1876;4516;(i̯ѣд).ъ;33;4551;ꙗдъ;2/m;n;;839
12;1113;6341;1475;ѣд;1877;5863;(i̯ѣд).ь;34;5923;ꙗдь;1/f;n;;839
13;1113;6342;1476;ѣд;1878;452;(i̯ѣд).ьц.а;35;404;ꙗдьца;2/f;n;;839
14;344;2072;3225;jазвл҄;1815;2053;(jазвл҄).а.т.и;39;2508;ꙗзвл҄ꙗти;7;v;;
15;344;2067;528;jазв;1812;47;(jазв).а;36;37;ꙗзва;2/f;n;;
16;344;2068;529;jазв;1813;220;(jазв).ин.а;37;183;ꙗзвина;2/f;n;;
